,Date time,Volume (MV),Light_Level (Ohms),Temperature-DHT (Celsius),Pressure (Hectopascal),Temperature-BMP (Celsius),Relative_Humidity (%),Carbon_Monoxide (Ohms),Nitrogen_Dioxide (Ohms),Air_Quality (Ohms),AirQuality_Predicted_LR (ohms),AirQuality_Predicted_RF (ohms),AirQuality_Predicted_XGboost (ohms)
6149,2017-06-16 8:45:41,98.5483871,1624.608512,33.17500038,1018.6011480000001,31.6,28.70500059,477772.1984,36490.34435,39870.802760000006,36681.68768739226,43378.252947203975,43415.03125
6150,2017-06-16 8:50:41,97.09677419,1835.74785,33.06000004,1018.591101,31.605,28.95500011,467600.5266,35701.22664,39658.652310000005,38487.98617104007,37534.547757291104,37674.36328125
6151,2017-06-16 9:05:42,181.4516129,1681.2927300000001,33.78999958,1018.708155,31.98,28.00499983,511781.2896,38600.28034,43052.99068,40777.720121303486,39368.22221970633,39709.9296875
6152,2017-06-16 9:10:42,253.70967740000003,2569.049833,34.00999985,1018.733274,32.18,28.01499996,511154.2174,38599.89763,43786.4569,39510.84419779037,41860.97751879729,42016.9453125
6153,2017-06-16 9:15:43,313.2258065,2310.9464510000003,34.48500023,1018.8226970000001,32.46,27.84999943,480656.8857,35392.34523,42885.68745,39705.53237079803,37512.11617728786,38394.2890625
6154,2017-06-16 9:20:43,262.7419355,1970.7504170000002,34.68499985,1018.794564,32.61,27.92499971,455361.4726,32955.179039999995,41942.59885,40855.4301152291,41310.56089362385,41131.1484375
6155,2017-06-16 9:25:43,141.61290319999998,1910.4090820000001,34.75499992,1018.7734640000001,32.685,27.91000013,442483.1916,31227.496639999998,41436.91667,37807.76630980524,36082.245107032795,36766.30078125
6156,2017-06-16 9:30:43,93.38709677,1590.057617,34.54999943,1018.773966,32.56,27.65000019,470147.4531,33206.18963,42444.688669999996,39953.40193872445,42493.39058859645,42732.484375
6157,2017-06-16 9:35:44,102.09677420000001,1504.858408,34.23000031,1018.823199,32.325,27.57000027,494494.5344,36629.900989999995,43388.9878,40699.65356760015,43682.906730628645,43586.25
6158,2017-06-16 9:40:44,88.5483871,1793.19848,34.10000038,1018.826716,32.25,27.20499983,488105.4183,38384.36168,43800.4212,37224.070021762134,35267.482009739804,35133.265625
6159,2017-06-16 9:45:44,98.06451613,1801.050143,33.89500141,1018.951305,32.12,26.83999977,505281.1749,39653.871380000004,44557.06201,34375.22269008111,33373.86982534655,33489.5859375
6160,2017-06-16 9:50:44,95.16129032,1853.9837120000002,33.85000038,1018.997022,32.04,26.69500046,537388.7702,42533.42142,45404.991030000005,42384.364203845005,41088.83212970325,41091.984375
6161,2017-06-16 9:55:45,158.5483871,2014.751816,33.92500114,1019.0819240000001,32.19,26.71500034,547937.2134,42788.8498,45786.59542,41737.21154896557,46241.940705509885,46589.05859375
6162,2017-06-16 10:00:45,94.83870968,1538.03135,33.87500095,1019.1125689999999,32.135,26.76000004,541953.9638,41814.771689999994,45645.5718,38829.99818488004,35524.648319404434,35309.80859375
6163,2017-06-16 10:05:45,99.67741935,1473.34396,33.92000122,1019.1326640000001,32.22,26.8499999,530761.3247,40285.849760000005,45458.16033,35997.45242775863,37625.068816295745,37746.0859375
6164,2017-06-16 10:10:46,109.83870970000001,6490.262329,34.00000076,1019.137688,32.23,26.8250001,523819.4362,40619.77153,45545.11359,34400.46752818761,33338.75932063502,33405.046875
6165,2017-06-16 10:15:46,90.64516129,4811.9475299999995,34.09999905,1019.2110349999999,32.25,26.72999992,526831.782,40330.74031,45364.77265,40941.09171461934,41621.25082879138,41950.875
6166,2017-06-16 10:20:46,92.09677419,4765.059125,33.94500084,1019.187925,32.075,26.60999985,542333.3436,42476.71944,45631.93462,41583.18624234345,41450.91150502394,40853.47265625
6167,2017-06-16 10:25:46,101.77419350000001,7463.680139,33.90500145,1019.2507220000001,32.14,26.63500042,527541.757,41052.29008,45451.38233,39312.95259871872,35181.44817569466,38068.3515625
6168,2017-06-16 10:30:47,104.516129,4032.8608340000005,33.9800005,1019.2979460000001,32.235,26.76500006,511534.5506,39102.16268,45232.00763,34153.41233386815,32923.9132393129,33100.4296875
6169,2017-06-16 10:35:47,91.29032258,4128.826981,34.43500004,1019.3637570000001,32.64,26.62500029,490851.4339,36825.94111,44968.14404,37473.10050829881,45809.452665517245,44990.5859375
6170,2017-06-16 10:40:47,91.4516129,6398.422503,34.46000061,1019.4406210000001,32.55,26.59500036,499685.5896,37595.36391,44882.52637,39975.84736804347,46628.482729864125,46380.70703125
6171,2017-06-16 10:45:47,90.16129032,4918.919562,34.25500011,1019.560689,32.225,26.85499992,504961.3521,38024.78448,44928.4513,40950.76991169175,40472.33062627684,40164.84765625
6172,2017-06-16 10:50:48,96.4516129,4088.388748,34.10499935,1019.6692029999999,32.28,26.95499983,514582.8415,39243.91565,45053.606869999996,38394.39059433667,33850.386717685455,33854.9921875
6173,2017-06-16 10:55:48,157.4193548,5585.419615999999,34.09499969,1019.7274789999999,32.315,26.97999992,519801.0341,39492.84122,45060.07118,32683.65882234834,29083.608128502518,30074.373046875
6174,2017-06-16 11:00:48,151.61290319999998,7850.900395999999,34.31000023,1019.770683,32.51,26.77499981,519170.169,39541.87205,45125.98425,40050.840575518756,35844.25545333383,36119.74609375
6175,2017-06-16 11:05:48,88.06451613,7107.4396560000005,34.24500046,1019.7968070000001,32.225,26.73999996,527979.2865,40632.95244,45232.34563,38909.055150167405,38212.58018297651,38126.58203125
6176,2017-06-16 11:10:49,100.483871,6715.104065,34.09499855,1019.943501,32.255,26.82999935,528289.9611,40345.41645,45251.99775,41461.28415755043,39088.43009747772,38839.53125
6177,2017-06-16 11:15:49,91.29032258,8462.259061,34.03999939,1020.006801,32.15,26.90999966,532601.7312,40859.37036,45464.70082,38613.6857077055,41210.06037305147,40781.46484375
